,Launchpad,Project Name,Ticker Symbol,Blockchain,Cross-Chain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE Mod 2 (Add 1),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
,BSCPad,WagyuSwap,WAG,BNB,YES,DeFi,"bnb chain ecosystem, dex, staking, dapp",$ 685.85K,685850,$ 24.24K,24240,1.47x,1.47,2.47,333.38x,333.38,334.38,$ 125.00K,125000,$ 225.00K,225000,9/6/2021,9/6/2021,11/2/2021,57,ACTIVE
,BSCPad,NFTLaunch,NFTL,Ethereum,NO,NFT,"marketplace, nft, staking, launchpad, collectibles",$ 1.19M,1190000,$ 9.78K,9780,5.89x,5.89,6.89,317.54x,317.54,318.54,$ 101.25K,101250,$ 288.73K,288730,9/2/2021,9/3/2021,11/13/2021,71,ACTIVE
,BSCPad,GameZone,GZONE,BNB,YES,DeFi,"bnb chain ecosystem, nft, play to earn, staking, launchpad",$ 10.83M,10830000,$ 44.33K,44330,5.31x,5.31,6.31,236.55x,236.55,237.55,$ 112.50K,112500,$ 112.50K,112500,9/29/2021,9/29/2021,11/17/2021,49,ACTIVE
,BSCPad,BitOrbit,BITORB,BNB,NO,Social,"bnb chain ecosystem, social media",$ 308.45K,308450,$ 1.16K,1160,1.00x,1.00,2,201.47x,201.47,202.47,$ 129.00K,129000,$ 290.00K,290000,11/3/2021,11/3/2021,11/4/2021,1,ACTIVE
,BSCPad,CrossWallet,CWT,BNB,YES,Blockchain Infrastructure,"cross-chain, dapp, staking, governance, tron ecosystem, wallet",$ 2.92M,2920000,$569.24 ,569.24,11.75x,11.75,12.75,199.76x,199.76,200.76,$ 149.25K,149250,$ 298.50K,298500,6/20/2021,6/20/2021,11/12/2021,145,ACTIVE
,BSCPad,AIOZ Network,AIOZ,Ethereum,YES,Blockchain Infrastructure,dapp,$ 44.38M,44380000,$ 470.93K,470930,4.68x,4.68,5.68,184.91x,184.91,185.91,$ 100.00K,100000,$ 1.35M,1350000,4/1/2021,4/1/2021,4/2/2021,1,ACTIVE
,BSCPad,BSC Station,BSCS,BNB,NO,DeFi,"nft, marketplace",$ 688.76K,688760,$ 653.64K,653640,1.77x,1.77,2.77,121.26x,121.26,122.26,$ 80.00K,80000,$ 885.00K,885000,4/20/2021,5/1/2021,4/20/2021,-11,ACTIVE
,BSCPad,Blind Boxes,BLES,Ethereum,NO,DeFi,"governance, nft, launchpad, marketplace, dapp, collectibles",$ 158.76K,158760,$ 28.71K,28710,0.06x,0.06,1.06,80.78x,80.78,81.78,$ 150.00K,150000,$ 2.45M,2450000,3/25/2021,3/27/2021,3/25/2021,-2,ACTIVE
,BSCPad,Ghospers Game,GHSP,BNB,NO,GameFi,"marketplace, nft, play to earn",$ 50.58K,50580,$518.96 ,518.96,0.32x,0.32,1.32,64.10x,64.10,65.1,$ 10.00K,10000,$ 110.00K,110000,10/29/2021,10/29/2021,10/31/2021,2,ACTIVE
,BSCPad,Lovelace World,LACE,BNB,NO,NFT,"marketplace, metaverse, launchpad, play to eanr",$ 1.03M,1030000,$ 58.45K,58450,0.22x,0.22,1.22,47.32x,47.32,48.32,$ 150.00K,150000,$ 1.60M,1600000,11/22/2021,11/22/2021,11/22/2021,0,ACTIVE
