Project id,Launchpad,Project Name,Ticker Symbol,Blockchain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE Mod 2 (add +1),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
1,DAO Maker,GameFi,GAFI,BNB,DeFi,"launchpad, bnb chain ecosystem",$ 11.65M,11650000,$ 203.73K,203730,13.63x,13.6,14.6,366.77x,366.77,367.77,$ 95.00K,95000,$ 2.25M,2250000,9/7/2021,9/7/2021,11/16/2021,70,ACTIVE
2,DAO Maker,My Neighbor Alice,ALICE,"Ethereum, BNB",GameFi,"nft, governance, staking, binance launchpool, play to earn, metaverse",$ 88.97M,88970000,$ 24.44M,24440000,23.26x,23.2,24.2,298.48x,298.48,299.48,$ 100.00K,100000,$ 2.20M,2200000,2/1/2021,2/2/2021,3/14/2021,40,ACTIVE
3,DAO Maker,Orion Protocol,ORN,Ethereum,DeFi,"fantom ecosystem, avalanche ecosystem",$ 52.01M,52010000,$ 4.86M,4860000,15.11x,15.1,16.1,292.54x,292.54,293.54,$ 3.75M,3750000,$ 7.46M,7460000,7/13/2020,7/13/2020,3/21/2021,251,ACTIVE
4,DAO Maker,Victoria VR,VR,Ethereum,GameFi,"VR/AR, metaverse, play to earn, nft",$ 33.78M,33780000,$ 4.61M,4610000,7.93x,7.93,8.93,212.78x,212.78,213.78,$ 100.00K,100000,$ 13.87M,13870000,11/22/2021,11/24/2021,12/9/2021,15,ACTIVE
5,DAO Maker,DeRace,DERC,"Ethereum, BNB",GameFi,"sports, bnb chain ecosystem, play to earn, gambling and betting",$ 13.35M,13350000,$ 287.76K,287760,7.30x,7.30,8.3,165.12x,165.12,166.12,$ 360.00K,360000,$ 2.08M,2080000,7/25/2021,7/29/2021,11/24/2021,118,ACTIVE
6,DAO Maker,Opulous,OPUL,"Ethereum, BNB",DeFi,"launchpad, nft, loan, marketplace, amm",$ 14.20M,14200000,$ 3.28M,3280000,2.69x,2.69,3.69,149.42x,149.42,150.42,$ 900.00K,900000,$ 6.19M,6190000,6/10/2021,6/11/2021,11/17/2021,159,ACTIVE
7,DAO Maker,Step.app,FITFI,Avalanche,GameFi,"nft, metaverse, move to earn (m2e), avalanche ecosystem",$ 28.76M,28760000,$ 10.26M,10260000,23.48x,23.4,24.4,148.30x,148.30,149.3,$ 2.75M,2750000,$ 2.75M,2750000,4/10/2022,4/20/2022,5/4/2022,14,ACTIVE
8,DAO Maker,XCAD Network,XCAD,"Ethereum, Zilliqa, BNB, Polygon",Social,"marketplace, nft, watch to earn, social media",$ 42.09M,42090000,$ 2.05M,2050000,17.52x,17.5,18.5,90.82x,90.82,91.82,$ 755.00K,755000,$ 3.97M,3970000,5/2/2021,5/16/2021,1/16/2022,245,ACTIVE
9,DAO Maker,MetaGods,MGOD,BNB,GameFi,"play to earn, nft, metaverse, staking, governance",$ 643.45K,643450,$ 7.88K,7880,1.01x,1.01,2.01,89.06x,89.06,90.06,$ 95.00K,95000,$ 3.72M,3720000,12/13/2021,12/14/2021,12/15/2021,1,ACTIVE
10,DAO Maker,Heroes & Empires,HE,BNB,GameFi,"BNB Chain ecosystem, nft, play to earn, collectibles",$ 1.76M,1760000,$ 248.63K,248630,0.67x,0.67,1.67,84.93x,84.93,85.93,$ 125.00K,125000,$ 1.70M,1700000,10/3/2021,10/4/2021,11/24/2021,51,ACTIVE
