performance_metrics_id,project_id,market_cap,daily_volume,tge_roi,ath_roi,,,,,,,,,,,
1,1,142390000,8560000,3.85,56.27,,,,,,,,,,,
2,2,3080000,181190,0.21,8.96,,,,,,,,,,,
3,3,11720000,183750,0.27,36.61,,,,,,,,,,,
4,4,173450,9050,0.07,3.48,,,,,,,,,,,
5,5,2140000000,64450000,0.5,2.18,,,,,,,,,,,
6,6,88380,9040,0.11,1.65,,,,,,,,,,,
7,7,3400000,734040,0.03,1.3,,,,,,,,,,,
8,8,416100,2110,0.04,1.1,,,,,,,,,,,
9,9,214520,0,0.37,1.05,,,,,,,,,,,
10,10,0,0,0,0.7,,,,,,,,,,,
11,11,0,0,0.28,0.33,,,,,,,,,,,
12,12,11650000,203730,13.6,366.77,,,,,,,,,,,
13,13,88970000,24440000,23.2,298.48,,,,,,,,,,,
14,14,52010000,4860000,15.1,292.54,,,,,,,,,,,
15,15,33780000,4610000,7.93,212.78,,,,,,,,,,,
16,16,13350000,287760,7.3,165.12,,,,,,,,,,,
17,17,14200000,3280000,2.69,149.42,,,,,,,,,,,
18,18,28760000,10260000,23.4,148.3,,,,,,,,,,,
19,19,42090000,2050000,17.5,90.82,,,,,,,,,,,
20,20,643450,7880,1.01,89.06,,,,,,,,,,,
21,21,1760000,248630,0.67,84.93,,,,,,,,,,,
22,22,93650,0,0.55,77.45,,,,,,,,,,,
23,23,1120000,163700,0.51,72.02,,,,,,,,,,,
24,24,2660000,115080,0.88,70.71,,,,,,,,,,,
25,25,2720000,146280,1.75,69.55,,,,,,,,,,,
26,26,26120,936.91,0.03,64.05,,,,,,,,,,,
27,27,3510000,793800,1.06,63.17,,,,,,,,,,,
28,28,8340000,1730000,1.37,62.91,,,,,,,,,,,
29,29,1830000,261260,0.96,61.8,,,,,,,,,,,
30,30,4890000,527620,1,61.15,,,,,,,,,,,
31,31,2430000,622300,0.75,60.65,,,,,,,,,,,
32,32,242450,7910,0.23,51.85,,,,,,,,,,,
33,33,196250,69580,0.42,49.8,,,,,,,,,,,
34,34,220740,8320,0.05,47.1,,,,,,,,,,,
35,35,1000000,0,0.91,45.8,,,,,,,,,,,
36,36,2010000,8970,0.82,44.36,,,,,,,,,,,
37,37,5030000,94560,1.25,42.94,,,,,,,,,,,
38,38,4070000,30500,0.88,42.59,,,,,,,,,,,
39,39,12200000,567430,4.79,41.15,,,,,,,,,,,
40,40,724870,9590,0.26,40.48,,,,,,,,,,,
41,41,178100,9330,0.25,40.1,,,,,,,,,,,
42,42,2250000,329430,1.55,38.82,,,,,,,,,,,
43,43,2040000,273470,0.15,37.47,,,,,,,,,,,
44,44,3940000,14880,3.23,36.48,,,,,,,,,,,
45,45,1160000,52090,0.94,35.95,,,,,,,,,,,
46,46,13560000,206250,3.06,34.32,,,,,,,,,,,
47,47,567540,43070,0.27,33.56,,,,,,,,,,,
48,48,775690,113430,0.3,33.52,,,,,,,,,,,
49,49,2210000,18280,0.92,32.15,,,,,,,,,,,
50,50,2420000,575840,0.41,30.37,,,,,,,,,,,
51,51,108370,30790,0.04,30.31,,,,,,,,,,,
52,52,41470000,1580000,3.49,30.03,,,,,,,,,,,
53,53,7390000,416870,1.07,29.72,,,,,,,,,,,
54,54,869610,12770,0.36,28.61,,,,,,,,,,,
55,55,12380000,275320,1.98,28.21,,,,,,,,,,,
56,56,224640,8920,0.16,27.49,,,,,,,,,,,
57,57,1410000,15810,0.43,26.25,,,,,,,,,,,
58,58,434570,20110,0.24,25.91,,,,,,,,,,,
59,59,10850000,553900,0.93,25.65,,,,,,,,,,,
60,60,230550,2920,0.34,24.78,,,,,,,,,,,
61,61,1040000,223680,0.07,24.59,,,,,,,,,,,
62,62,12770000,14390000,8.17,24,,,,,,,,,,,
63,63,4820000,43610,1.41,22.3,,,,,,,,,,,
64,64,29650000,1000000,0.34,21.55,,,,,,,,,,,
65,65,506560,3600,0.16,21.18,,,,,,,,,,,
66,66,231600,317290,0.11,18.7,,,,,,,,,,,
67,67,249010,20830,0.07,18.45,,,,,,,,,,,
68,68,198490,19830,0.29,17.09,,,,,,,,,,,
