Project id,Launchpad,Project Name,Ticker Symbol,Blockchain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE Mod 2 (Add 1),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
1,Polkastarter,Ethernity Chain,ERN,Ethereum,DeFi,"nft, yield farming, staking, governance, collectibles",$ 35.48M,35480000,$ 1.58M,1580000,8.24x,8.24,9.24,269.62x,269.62,270.62,$ 150.00K,150000,$ 2.68M,2680000,3/6/2021,3/7/2021,3/26/2021,19,ACTIVE
2,Polkastarter,Thetan Arena,THG,"BNB, KardiaChain",GameFi,"sports, play to earn, nft, bnb chain ecosystem, collectibles, marketplace, metaverse",$ 7.76M,7760000,$ 1.57M,1570000,1.35x,1.35,2.35,264.17x,264.17,265.17,$ 200.00K,200000,$ 300.00K,300000,9/15/2021,9/16/2021,11/24/2021,69,ACTIVE
3,Polkastarter,SuperFarm,SUPER,Ethereum,DeFi,"nft, yield farming, fantom ecosystem, polygon ecosystem, collectibles",$ 51.46M,51460000,$ 4.61M,4610000,7.16x,7.16,8.16,188.75x,188.75,189.75,$ 250.00K,250000,$ 1.45M,1450000,2/21/2021,2/21/2021,3/30/2021,37,ACTIVE
4,Polkastarter,Polychain Monsters,PMON,"Ethereum, BNB",DeFi,"nft, staking, dapp, marketplace, cross-chain, play to earn, collectibles",$ 4.56M,4560000,$ 357.95K,357950,3.85x,3.85,4.85,185.46x,185.46,186.46,$ 90.00K,90000,$ 833.00K,833000,3/30/2021,3/30/2021,4/1/2021,2,ACTIVE
5,Polkastarter,Wilder World,WILD,Ethereum,GameFi,"vr/ar, nft, marketplace, metaverse",$ 42.18M,42180000,$ 986.78K,986780,9.52x,9.52,10.52,156.41x,156.41,157.41,$ 250.00K,250000,$ 3.00M,3000000,5/10/2021,5/10/2021,11/26/2021,200,ACTIVE
6,Polkastarter,PAID Network,PAID,"Ethereum, BNB",DeFi,"governance, staking, launchpad, bnb chain ecosystem, cross-chain",$ 4.68M,4680000,$ 48.56K,48560,0.72x,0.72,1.72,145.38x,145.38,146.38,$ 150.00K,150000,$ 2.10M,2100000,1/19/2021,1/20/2021,2/17/2021,28,ACTIVE
7,Polkastarter,Polkamarkets,POLK,Ethereum,GameFi,"polygon ecosystem, gambling and betting, predictions",$ 6.74M,6740000,$ 190.17K,190170,2.68x,2.68,3.68,138.72x,138.72,139.72,$ 90.00K,90000,$ 715.00K,715000,2/23/2021,2/23/2021,2/23/2021,0,ACTIVE
8,Polkastarter,Refinable,FINE,BNB,DeFi,"nft, marketplace, governance, bnb chain ecosystem",$ 3.25M,3250000,$ 225.33K,225330,0.86x,0.86,1.86,129.10x,129.10,130.1,$ 180.00K,180000,$ 3.02M,3020000,4/26/2021,4/26/2021,4/29/2021,3,ACTIVE
9,Polkastarter,Antimatter,MATTER,"Ethereum, BNB, HECO Chain, Arbitrum",DeFi,"staking, governance, heco ecosystem, cross-chain, amm, dex, arbitrum ecosystem, derivatives",$ 9.41M,9410000,$ 207.44K,207440,5.68x,5.68,6.68,122.73x,122.73,123.73,$ 25.00K,25000,$ 750.00K,750000,2/26/2021,2/26/2021,4/7/2021,40,ACTIVE
10,Polkastarter,OptionRoom,ROOM,BNB,GameFi,"oracle, polkadot ecosystem, gambling and betting, predictions",$ 294.44K,294440,$ 66.43K,66430,0.47x,0.47,1.47,92.74x,92.74,93.74,$ 50.00K,50000,$ 1.00M,1000000,2/4/2021,2/4/2021,2/21/2021,17,ACTIVE
11,Polkastarter,Unmarshal,MARSH,"Ethereum, BNB",DeFi,"governance, staking, bnb chain ecosystem, polygon ecosystem",$ 2.56M,2560000,$ 549.07K,549070,0.50x,0.50,1.5,90.90x,90.90,91.9,$ 204.00K,204000,$ 2.53M,2530000,3/29/2021,3/29/2021,3/29/2021,0,ACTIVE
12,Polkastarter,Dfyn,DFYN,"Polygon, Ethereum",DeFi,"amm, cross-chain, governance, yield farming, nft, launchpad, arbitrum ecosystem, dex",$ 8.74M,8740000,$ 2.68M,2680000,0.68x,0.68,1.68,86.66x,86.66,87.66,$ 305.50K,305500,$ 2.71M,2710000,5/9/2021,5/9/2021,5/15/2021,6,ACTIVE
13,Polkastarter,YOP Finance,YOP,Ethereum,DeFi,yield aggregator,$ 874.54K,874540,$ 25.99K,25990,1.73x,1.73,2.73,78.62x,78.62,79.62,$ 60.00K,60000,$ 60.00K,60000,1/14/2021,1/14/2021,2/11/2021,28,ACTIVE
14,Polkastarter,Ethereum Push Notification Service,PUSH,Ethereum,Blockchain Service,"dapp, nft, governance, polygon ecosystem",$ 5.72M,5720000,$ 621.34K,621340,3.21x,3.21,4.21,72.29x,72.29,73.29,$ 100.00K,100000,$ 11.61M,11610000,4/12/2021,4/12/2021,4/13/2021,1,ACTIVE
15,Polkastarter,WonderHero,WND,BNB,GameFi,"play to earn, nft, marketplace, bnb chain ecosystem, cross-chain, polygon ecosystem",0,0,$988.70 ,988.7,0.36x,0.36,1.36,72.04x,72.04,73.04,$ 195.00K,195000,$ 1.85M,1850000,10/20/2021,10/20/2021,10/30/2021,10,INACTIVE
16,Polkastarter,Convergence Finance,CONV,Ethereum,DeFi,"amm, governance, dapp, launchpad, dex",$ 3.05M,3050000,$ 717.54K,717540,0.31x,0.31,1.31,55.14x,55.14,56.14,$ 300.00K,300000,$ 3.75M,3750000,3/24/2021,3/24/2021,3/24/2021,0,ACTIVE
17,Polkastarter,Umbrella Network,UMB,"Ethereum, BNB",DeFi,"staking, oracle, polygon ecosystem",$ 3.09M,3090000,$ 243.63K,243630,0.38x,0.38,1.38,52.30x,52.30,53.3,$ 250.00K,250000,$ 900.00K,900000,2/8/2021,2/8/2021,2/9/2021,1,ACTIVE
18,Polkastarter,Blockchain Monster Hunt,BCMC,"Ethereum, Polygon",GameFi,"cross-chain, play to earn, nft",$ 2.85M,2850000,$ 472.62K,472620,0.19x,0.19,1.19,52.19x,52.19,53.19,$ 180.00K,180000,$ 4.26M,4260000,10/13/2021,10/13/2021,11/2/2021,20,ACTIVE
19,Polkastarter,Orion Money,ORION,"Ethereum, BNB",DeFi,"yield farming, cross-chain, bnb chain ecosystem, terra ecosystem",$ 219.50K,219500,$ 7.77K,7770,0.05x,0.05,1.05,47.10x,47.10,48.1,$ 400.00K,400000,$ 5.10M,5100000,9/28/2021,9/29/2021,10/14/2021,15,ACTIVE
20,Polkastarter,Bridge Mutual,BMI,Ethereum,DeFi,"staking, governance, amm, insurance",$ 1.48M,1480000,$ 57.76K,57760,0.18x,0.18,1.18,44.37x,44.37,45.37,$ 150.00K,150000,$ 1.76M,1760000,1/29/2021,1/29/2021,2/2/2021,4,ACTIVE
21,Polkastarter,MahaDAO,MAHA,Ethereum,DeFi,"polygon ecosystem, governance, dao",$ 4.85M,4850000,$ 157.19K,157190,2.12x,2.12,3.12,43.84x,43.84,44.84,$ 125.00K,125000,$ 875.00K,875000,12/16/2020,12/17/2020,1/17/2021,31,ACTIVE
